nyt_wage,nyt_name,oes,det_phys_prox,det_contact_others,det_exp_to_dis_or_inf,score,nyt_emp,oes_top,oes_fbpop,fbshare,oes_totpop,oes_fbobs,oes_totobs,aboveAVG,healthProfessions,fbshareColor,essential
34740,Cabinetmakers and Bench Carpenters,517011,55,76,0,43.66666794,102100,51,10106,0.1884920299,53615,385,2620,1,0,0.19,
38970,Septic Tank Servicers and Sewer Pipe Cleaners,474071,77,90,65,77.33333588,27090,47,11427,0.2179518938,52429,391,2284,1,0,0.22,
114600,Computer Hardware Engineers,172061,44,61,0,35,60750,17,18958,0.3639749587,52086,829,2493,1,0,0.36,
62930,Railroad Conductors and Yardmasters,534031,63,88,15,55.33333206,42360,53,2353,0.04584242404,51328,87,2399,0,0,0.05,1
49031.47087,"Archivists, Curators, and Museum Technicians",254010,48.53858268,75.41795276,2.33511811,42.09721785,31750,25,4117,0.08101300895,50819,233,2824,0,0,0.08,
117130,Advertising and Promotions Managers,112011,46,92,1,46.33333206,25260,11,4631,0.09300877899,49791,226,2451,0,0,0.09,
34850,"Grinding/Lapping/Polishing/Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",514033,55,62,5,40.66666794,71870,51,9315,0.1873001903,49733,352,2359,1,0,0.19,
22260,"Ushers, Lobby Attendants, and Ticket Takers",393031,82,97,16,65,133970,39,3945,0.08106275648,48666,180,2251,0,0,0.08,
76220,Budget Analysts,132031,43,88,6,45.66666794,52810,13,6213,0.1287561655,48254,306,2443,0,0,0.13,
52677.81966,Underground Mining Machine Operators,475040,13.28374936,23.55985736,0.2506367804,12.36474783,19630,47,5025,0.1050156727,47850,195,2424,0,0,0.11,
82921.13856,"Power Plant Operators, Distributors, and Dispatchers",518010,57.02971826,88.48475492,4.515245079,50.00990609,51820,51,1680,0.03523416072,47681,87,2628,0,0,0.04,
27730,Helpers--Production Workers,519198,54,71,1,42,350410,51,16254,0.3425644934,47448,641,2116,1,0,0.34,
34040,Library Technicians,254031,62,76,16,51.33333206,88690,25,4861,0.102474913,47436,264,2727,0,0,0.10,
76330,First-Line Supervisors of Fire Fighting and Prevention Workers,331021,73,84,23,60,65920,33,1305,0.02752351575,47414,59,2545,0,0,0.03,1
34770,Medical Transcriptionists,319094,42,66,21,43,53730,31,2835,0.06071053818,46697,127,2416,0,0,0.06,
73780,Transportation Inspectors,536051,54,73,2,43,29990,53,6197,0.1334266365,46445,275,2212,0,0,0.13,1
32870,Psychiatric Technicians,292053,85,91,93,89.66666412,71360,29,6140,0.1331021041,46130,250,2017,0,1,0.13,
66040,"Agents and Business Managers of Artists, Performers, and Athletes",131011,43,99,0,47.33333206,14830,13,5454,0.1189193875,45863,236,2042,0,0,0.12,
,Surgeons,291067,97,94,86,92.33333588,34390,29,11625,0.2538708448,45791,583,2438,1,1,0.25,
37243.96789,Small Engine Mechanics,493050,54.36236077,83.28685086,7.179516852,48.27624283,69130,49,3037,0.06649151444,45675,130,2325,0,0,0.07,
49630,Music Directors and Composers,272041,32,50,0,27.33333397,12160,27,5135,0.1126343533,45590,241,2354,0,0,0.11,
66457.94703,Miscellaneous Plant and System Operators,518090,62.55760026,83.86278056,6.523454952,50.98127859,94010,51,3547,0.07838327438,45252,143,2305,0,0,0.08,
29290,Animal Trainers,392011,62,81,18,53.66666794,14830,39,3935,0.08733188361,45058,171,2110,0,0,0.09,
60812.382,Locomotive Engineers and Operators,534010,50.0703163,90.27907543,11.57469586,50.64136253,41100,53,1772,0.03946460038,44901,83,2212,0,0,0.04,1
67961.13368,Ship and Boat Captains and Operators,535020,69.64524422,82.70976864,9.870951157,54.07532134,38900,53,2618,0.05871271715,44590,123,2309,0,0,0.06,1
42516.99911,Insulation Workers,472130,58.43596103,77.15518158,11.5911426,49.06076174,56450,47,14186,0.3251059949,43635,483,1740,1,0,0.33,
31326.78149,"Helpers, Construction Trades",473010,67.96063106,79.31041637,19.60650359,55.62585034,207270,47,11979,0.2747414112,43601,422,1750,1,0,0.27,
89049.25738,"Geoscientists and Hydrologists, Except Geographers",192040,39.8230661,68.06160338,6.823066104,38.23591186,35550,19,5093,0.1172826737,43425,248,2301,0,0,0.12,
38750,"Credit Authorizers, Checkers, and Clerks",434041,55,95,0,50,29980,43,4346,0.1003162265,43323,195,1995,0,0,0.10,
33826.46717,"Model Makers, Patternmakers, and Molding Machine Setters, Metal and Plastic",514070,63.90010571,70.73737719,7.596349956,47.41127762,321640,51,6771,0.1569286436,43147,288,2144,0,0,0.16,
32053.2388,Announcers,273010,57.60635281,88.939308,8.302892796,51.61618453,35260,27,5077,0.1178888232,43066,186,1917,0,0,0.12,
77612.29104,Other Social Scientists,193099,42.55587523,78.59191399,2.296335554,41.14804159,66040,19,5430,0.1264555156,42940,245,2184,0,0,0.13,
47040.32194,"Environmental science and geoscience technicians, and nuclear technicians",194040,57.41158501,75.98484314,16.0494654,49.81529785,85110,19,5768,0.1357975304,42475,261,2077,0,0,0.14,
55060,Millwrights,499044,77,83,30,63.33333206,43810,49,2022,0.04761792719,42463,79,2326,0,0,0.05,
,Actors,272011,95,93,5,64.33333588,47430,27,5557,0.1314395219,42278,236,1925,0,0,0.13,
27020,"Umpires, Referees, and Other Sports Officials",272023,71,79,11,53.66666794,19090,27,4616,0.110793747,41663,200,1952,0,0,0.11,
43550,Glaziers,472121,69,85,18,57.33333206,50940,47,6523,0.157980144,41290,246,1760,0,0,0.16,
26450,Pharmacy Aides,319095,82,96,78,85.33333588,36970,31,7055,0.1738455445,40582,284,1817,1,1,0.17,
102267.7774,Air Traffic Controllers and Airfield Operations Specialists,532020,77.07387944,92.0763524,12.23400309,60.46141164,32350,53,2287,0.05743633583,39818,95,1825,0,0,0.06,1
39270,Home Appliance Repairers,499031,67,96,12,58.33333206,31130,49,6599,0.1662300378,39698,289,1907,0,0,0.17,
23350,"Pressers, Textile, Garment, and Related Materials",516021,35,61,4,33.33333206,38320,51,18578,0.4699840546,39529,700,1695,1,0,0.47,
111790,Optometrists,291041,90,91,75,85.33333588,37220,29,5695,0.14423199,39485,265,2075,0,1,0.14,
123678.8226,"Petroleum, mining and geological engineers, including mining safety engineers",172150,36.62833978,82.08199742,1.639027087,40.11645476,54270,17,8878,0.2255302966,39365,332,1773,1,0,0.23,
92390,Materials Engineers,172131,45,71,2,39.33333206,26930,17,7751,0.1986366361,39021,379,1995,1,0,0.20,
40860,Agricultural and Food Science Technicians,194011,56,76,12,48,21290,19,6250,0.1612570286,38758,259,2052,0,0,0.16,
52650,"Morticians, Undertakers, and Funeral Directors",394031,72,94,79,81.66666412,25740,39,1271,0.03294282407,38582,54,2043,0,0,0.03,1
48964.64381,"Derrick, rotary drill, and service unit operators, and roustabouts, oil, gas, and mining",475010,80.37276983,92.2635708,8.514235101,60.38352524,79030,47,4721,0.1227381453,38464,149,1808,0,0,0.12,
41490,Transportation Security Screeners,339093,86,89,55,76.66666412,45250,33,5959,0.1570348144,37947,249,1660,0,0,0.16,1
39440,Jewelers and Precious Stone and Metal Workers,519071,42,61,0,34.33333206,25910,51,12943,0.3416031003,37889,569,1827,1,0,0.34,
37240,Telephone Operators,432021,68,98,12,59.33333206,5160,43,3286,0.08675907552,37875,140,1679,0,0,0.09,
38160,Electronic Home Entertainment Equipment Installers and Repairers,492097,40,80,6,42,26070,49,6596,0.1747840345,37738,263,1718,1,0,0.17,
44430,"Earth Drillers, Except Oil and Gas",475021,42,75,8,41.66666794,18270,47,3587,0.09513074905,37706,128,1944,0,0,0.10,
32790,"Office Machine Operators, Except Computer",439071,56,77,4,45.66666794,48580,43,5375,0.1449451298,37083,227,1722,0,0,0.14,
101420,Sales Engineers,419031,36,91,0,42.33333206,65720,41,5083,0.1375493854,36954,242,1867,0,0,0.14,
42670,Procurement Clerks,433061,51,97,10,52.66666794,68100,43,4239,0.1157912016,36609,212,1927,0,0,0.12,
62942.71292,"Surveyors, Cartographers, and Photogrammetrists",171020,42.74485451,76.78424414,4.019694819,41.18293116,56360,17,2750,0.07533008605,36506,129,1853,0,0,0.08,
50650,Athletes and Sports Competitors,272021,59,83,6,49.33333206,10800,27,4783,0.1353653669,35334,193,1625,0,0,0.14,
56850,Cardiovascular Technologists and Technicians,292031,97,99,74,90,56560,29,5372,0.1544299424,34786,236,1726,0,1,0.15,
50090,Marriage and Family Therapists,211013,58,96,30,61.33333206,48520,21,3211,0.09232317656,34780,157,1769,0,0,0.09,
34560,"Coin, Vending, and Amusement Machine Servicers and Repairers",499091,58,78,7,47.66666794,32920,49,4116,0.1203297675,34206,162,1651,0,0,0.12,
44840,Mental Health and Substance Abuse Social Workers,211023,50,94,39,61,116750,21,3629,0.107957758,33615,169,1723,0,0,0.11,
71670,Magnetic Resonance Imaging Technologists,292035,76,85,84,81.66666412,38540,29,4116,0.1227557436,33530,176,1683,0,1,0.12,
40900,Sailors and Marine Oilers,535011,69,85,19,57.66666794,32220,53,3032,0.09084372222,33376,135,1615,0,0,0.09,1
29500,"Sawing Machine Setters, Operators, and Tenders, Wood",517041,57,74,6,45.66666794,52260,51,4700,0.1418140084,33142,179,1762,0,0,0.14,
34480,Upholsterers,516093,62,66,2,43.33333206,32870,51,11162,0.3392808437,32899,469,1628,1,0,0.34,
42030,Hazardous Materials Removal Workers,474041,67,74,18,53,44000,47,7720,0.2367154211,32613,262,1340,1,0,0.24,
35630,Rehabilitation Counselors,211015,60,83,26,56.33333206,106860,21,2937,0.09147538245,32107,139,1565,0,0,0.09,1
33340,"Molders, Shapers, and Casters, Except Metal and Plastic",519195,45,49,1,31.66666603,42500,51,9092,0.2885707915,31507,328,1481,1,0,0.29,
26760,"Transportation Attendants, Except Flight Attendants",536061,93,79,27,66.33333588,25460,53,5836,0.188294515,30994,239,1266,1,0,0.19,1
45760,Bailiffs,333011,80,93,40,71,18900,33,1622,0.05288382992,30671,75,1506,0,0,0.05,1
35120,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",519041,66,76,17,53,72870,51,4135,0.1350777447,30612,149,1428,0,0,0.14,
102880,Actuaries,152011,35,66,0,33.66666794,20760,15,6038,0.1975720674,30561,289,1491,1,0,0.20,
56371.81102,Other Woodworkers,517099,53.08661417,74.74015748,8.74015748,45.52230971,1270,51,4291,0.1406331956,30512,179,1673,0,0,0.14,
34800,Fence Erectors,474031,74,84,9,55.66666794,23530,47,9613,0.316832006,30341,298,1227,1,0,0.32,
72720,Fashion Designers,271022,48,94,0,47.33333206,19750,27,4931,0.1627661288,30295,210,1457,0,0,0.16,
60857.54426,"Other Electrical and Electronic Equipment Mechanics, Installers, and Repairers",492099,67.51646678,86.15134209,5.388159147,53.01865601,105060,49,2835,0.09368494153,30261,107,1437,0,0,0.09,
87620,Environmental Engineers,172081,40,84,13,45.66666794,53070,17,4699,0.1555651128,30206,224,1555,0,0,0.16,
167950,Nurse Anesthetists,291151,87,93,96,92,43520,29,2621,0.08729682863,30024,124,1589,0,1,0.09,
43540,Plasterers and Stucco Masons,472161,61,78,6,48.33333206,24870,47,16947,0.5685386658,29808,581,1125,1,0,0.57,
47060,"Maintenance Workers, Machinery",499043,73,82,11,55.33333206,80270,49,3355,0.1129667684,29699,140,1484,0,0,0.11,
38900,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",514022,65,83,1,49.66666794,18330,51,2458,0.08329661936,29509,102,1503,0,0,0.08,
29180,Photographic Process Workers and Processing Machine Operators,519151,58,82,41,60.33333206,16680,51,5008,0.1709565073,29294,221,1322,0,0,0.17,
71130,"Environmental Scientists and Specialists, Including Health",192041,38,69,0,35.66666794,80480,19,3095,0.1062223315,29137,142,1549,0,0,0.11,
29560,Machine Feeders and Offbearers,537063,47,72,2,40.33333206,66380,53,5744,0.1992161721,28833,221,1351,1,0,0.20,
71520,Credit Analysts,132041,49,87,2,46,74820,13,3415,0.1184571087,28829,164,1373,0,0,0.12,
28846.63487,"Textile Machine Setters, Operators, and Tenders",516060,54.39692634,63.01868045,3.219528352,40.21171171,75480,51,7911,0.2751460671,28752,287,1325,1,0,0.28,
55318.05401,Occupational Therapy Assistants and Aides,312010,83.37609214,96.84710087,89.37609214,89.86642838,50360,31,2393,0.08479501307,28221,114,1462,0,1,0.08,
68230,Landscape Architects,171012,47,82,0,43,18660,17,4792,0.1707586497,28063,222,1455,0,0,0.17,
29575.67023,Other Personal Appearance Workers,395099,90.0688019,96.51008304,11.8623962,66.14709371,16860,39,14059,0.511087656,27508,556,1141,1,0,0.51,
39290,Structural Metal Fabricators and Fitters,512041,60,80,6,48.66666794,76090,51,2844,0.1036518663,27438,93,1315,0,0,0.10,
40410,Prepress Technicians and Workers,515111,56,78,0,44.66666794,29990,51,3869,0.1428835243,27078,164,1331,0,0,0.14,
41450,Locksmiths and Safe Repairers,499094,62,91,10,54.33333206,16970,49,3551,0.1313191056,27041,150,1308,0,0,0.13,
51384.81132,Pumping Station Operators,537070,37.8563135,83.76342525,5.748911466,42.45621674,27560,53,1702,0.06522572041,26094,74,1523,0,0,0.07,1
40360,"Meter Readers, Utilities",435041,37,69,27,44.33333206,33570,43,1332,0.05120516568,26013,68,1315,0,0,0.05,
29420,"Switchboard Operators, Including Answering Service",432011,63,98,30,63.66666794,71600,43,2366,0.09220217168,25661,101,1284,0,0,0.09,
104340,Economists,193011,29,59,0,29.33333397,18650,19,7878,0.3131409585,25158,379,1342,1,0,0.31,
42840,"Electric Motor, Power Tool, and Related Repairers",492092,60,73,26,53,15800,49,3444,0.1398635507,24624,148,1205,0,0,0.14,
64076.44639,Agricultural and Food Scientists,191010,46.15970198,76.65208941,17.57628766,46.79602635,30870,19,3938,0.1604269296,24547,171,1305,0,0,0.16,
79780,Elevator Installers and Repairers,474021,64,77,50,63.66666794,26830,47,2713,0.1141979173,23757,115,1148,0,0,0.11,
40146.46944,"Metal Furnace Operators, Tenders, Pourers, and Casters",514050,47.30642633,57.38597179,3.538009404,36.07680251,25520,51,2420,0.1022736877,23662,85,1103,0,0,0.10,
48330,Statistical Assistants,439111,45,72,7,41.33333206,11010,43,3455,0.146119684,23645,144,1194,0,0,0.15,
32886.1194,Dietetic Technicians and Ophthalmic Medical Technicians,292050,80.29850746,95.05970149,65.89552239,80.41791045,86430,29,2350,0.09943301976,23634,92,1057,0,1,0.10,
44500,Biological Technicians,194021,51,79,39,56.33333206,77450,19,3978,0.1695290804,23465,195,1239,0,0,0.17,
38730,"Paper Goods Machine Setters, Operators, and Tenders",519196,61,86,3,50,97960,51,3874,0.1658035517,23365,168,1140,0,0,0.17,
64140,Avionics Technicians,492091,66,77,3,48.66666794,18860,49,1873,0.08159086853,22956,81,1095,0,0,0.08,
68170,Subway and Streetcar Operators,534041,67,87,43,65.66666412,8850,53,2690,0.1172215417,22948,112,1072,0,0,0.12,1
73050,Urban and Regional Planners,193051,54,83,6,47.66666794,37840,19,1876,0.08315971494,22559,98,1218,0,0,0.08,
43210,Cargo and Freight Agents,435011,60,93,1,51.33333206,92280,43,4803,0.214381367,22404,217,1022,1,0,0.21,
29450,"Helpers--Installation, Maintenance, and Repair Workers",499098,68,84,15,55.66666794,105040,49,7141,0.3191223145,22377,266,945,1,0,0.32,
66590,Commercial and Industrial Designers,271021,49,85,0,44.66666794,33200,27,3811,0.1704230458,22362,162,1069,0,0,0.17,
118370,Computer and Information Research Scientists,151111,33,86,0,39.66666794,30070,15,6329,0.2915515006,21708,303,1101,1,0,0.29,
58369.05729,Other Transportation Workers,536099,55.62291667,80.434375,8.4390625,48.16545139,19200,53,3184,0.1491125375,21353,117,904,0,0,0.15,1
59181.33015,Fire Inspectors,332020,59.12824011,97.56412005,35.14529332,191.8376535,14660,33,,n/a,21320,46,1054,0,0,0.00,1
123860,Natural Sciences Managers,119121,40,74,4,39.33333206,60260,11,4334,0.2047526836,21167,206,1134,1,0,0.20,
43489.80183,"Conveyor, Dredge, and Hoist and Winch Operators",537040,42.58730599,81.06125277,4.969373614,42.87264412,72160,53,2259,0.1095113456,20628,72,960,0,0,0.11,
51481.15323,Control and Valve Installers and Repairers,499010,67.43763441,87.0858871,15.34354839,56.62235663,74400,49,1412,0.06875730306,20536,57,986,0,0,0.07,
32890,Print Binding and Finishing Workers,515113,55,64,0,39.66666794,45690,51,2707,0.1333563179,20299,127,988,0,0,0.13,
61337.47468,Conservation Scientists and Foresters,191030,42.45050637,80.25253185,5.175759556,42.62626593,30610,19,,n/a,19953,23,1232,0,0,0.00,
35621.80728,"Other Textile, Apparel, and Furnishings Workers",516099,53.65867238,86.44710921,2.552890792,47.55289079,23350,51,6440,0.325812012,19766,277,929,1,0,0.33,
76820,Nuclear Medicine Technologists,292033,86,96,93,91.66666412,18810,29,2955,0.1502746195,19664,130,1002,0,1,0.15,
