statefip,id,StateName,fbpop,fbshare,fbage1664,entrp,voter,tottax$,tottax,sppower$,sppower,obs,MapSite
Alabama,01,Alabama,"183,468",3.6%,81.9%,"19,592","74,175","$1,584,208,893.00",1584.2,"$5,206,030,765.00",5206.0,1405.0,https://www.newamericaneconomy.org/locations/alabama/
Alaska,02,Alaska,"54,775",7.5%,79.3%,-,"30,568","$503,055,884.00",503.1,"$1,822,355,270.00",1822.4,358.0,https://www.newamericaneconomy.org/locations/alaska/
Arizona,04,Arizona,"964,229",13.1%,79.5%,"69,937","456,195","$9,119,356,556.00",9119.4,"$28,446,916,189.00",28446.9,7741.0,https://www.newamericaneconomy.org/locations/arizona/
Arkansas,05,Arkansas,"156,146",5.1%,85.0%,"14,011","52,575","$1,311,391,673.00",1311.4,"$4,068,800,856.00",4068.8,1079.0,https://www.newamericaneconomy.org/locations/arkansas/
California,06,California,"10,415,459",26.7%,76.6%,"846,590","5,478,454","$151,292,139,393.00",151292.1,"$382,713,648,128.00",382713.6,98573.0,https://www.newamericaneconomy.org/locations/california/
Colorado,08,Colorado,"557,171",9.5%,82.6%,"42,077","257,333","$6,608,634,275.00",6608.6,"$19,103,186,115.00",19103.2,4155.0,https://www.newamericaneconomy.org/locations/colorado/
Connecticut,09,Connecticut,"569,325",15.7%,77.9%,"44,925","302,871","$8,994,482,410.00",8994.5,"$21,132,211,350.00",21132.2,4554.0,https://www.newamericaneconomy.org/locations/connecticut/
Delaware,10,Delaware,"98,006",9.6%,81.9%,-,"53,857","$1,097,689,948.00",1097.7,"$3,587,537,480.00",3587.5,766.0,https://www.newamericaneconomy.org/locations/delaware/
District of Columbia,11,District of Columbia,"98,464",14.7%,80.8%,"7,828","50,823","$2,151,204,733.00",2151.2,"$4,931,414,044.00",4931.4,756.0,https://www.newamericaneconomy.org/locations/district-of-columbia/
Florida,12,Florida,"4,808,969",21.6%,73.1%,"491,303","2,669,082","$42,473,715,769.00",42473.7,"$141,462,834,500.00",141462.8,37875.0,https://www.newamericaneconomy.org/locations/florida/
Georgia,13,Georgia,"1,174,365",10.8%,82.6%,"110,982","563,976","$13,557,188,220.00",13557.2,"$38,634,363,211.00",38634.4,8688.0,https://www.newamericaneconomy.org/locations/georgia/
